trial number, time (seconds),outcome
297,0.0024229,failure
298,0.0024361,failure
299,0.002444,failure
300,0.0016034,success
301,0.0025495,failure
302,0.0026374,failure
303,0.0025689,failure
304,0.0024541,failure
305,0.0024556,failure
306,0.0024319,failure
307,0.0024584,failure
308,0.0024557,failure
309,0.0042115,failure
310,0.0024565,failure
311,0.002605,failure
312,0.0024439,failure
313,0.0025848,failure
314,0.0025094,failure
315,0.0011665,success
316,0.0011808,success
317,0.0017732,success
318,0.0024899,failure
319,0.0017914,success
320,0.0026396,failure
321,0.0027414,failure
322,0.0025673,failure
323,0.0024251,failure
324,0.0026086,failure
325,0.0024489,failure
326,0.002442,failure
327,0.0024626,failure
328,0.0009353,success
329,0.0027272,failure
330,0.0026392,failure
331,0.0015442,success
332,0.0026267,failure
333,0.0026367,failure
334,0.0026678,failure
335,0.0026577,failure
336,0.0025762,failure
337,0.0025852,failure
338,0.0007713,success
339,0.0025969,failure
340,0.0026614,failure
341,0.0028582,failure
342,0.0023975,failure
343,0.0024157,failure
344,0.0024115,failure
345,0.00261,failure
346,0.0024387,failure
347,0.0024502,failure
348,0.002298,success
349,0.0024734,failure
350,0.0024562,failure
351,0.0024426,failure
352,0.0024217,failure
353,0.0025922,failure
354,0.0028418,failure
355,0.0026048,failure
356,0.0025991,failure
357,0.0025504,failure
358,0.0024728,success
359,0.0026897,failure
360,0.0017858,success
361,0.0028344,failure
362,0.0024715,failure
363,0.0024358,failure
364,0.0016128,success
365,0.0009862,success
366,0.0024183,failure
367,0.0030121,failure
368,0.0019848,success
369,0.0025871,failure
370,0.0026101,failure
371,0.0027996,success
372,0.0030044,success
373,0.0024646,failure
374,0.0024217,failure
375,0.002414,failure
376,0.0027759,success
377,0.0025944,failure
378,0.0025382,failure
379,0.002445,failure
380,0.0024059,failure
381,0.0024294,failure
382,0.0025682,failure
383,0.001371,success
384,0.002482,failure
385,0.002673,failure
386,0.0023687,success
387,0.0030997,success
388,0.0024586,failure
389,0.0021639,success
390,0.0027077,failure
391,0.0024422,failure
392,0.0027133,failure
393,0.0015067,success
394,0.0014457,success
395,0.0024172,failure
396,0.0025818,failure
397,0.0016645,success
398,0.0025405,failure
399,0.0028858,failure
400,0.0024614,failure
401,0.0025729,failure
402,0.0026911,failure
403,0.0007764,success
404,0.0024083,failure
405,0.0027104,failure
406,0.0027829,failure
407,0.0026312,failure
408,0.0024656,failure
409,0.0026587,failure
410,0.0026774,failure
411,0.0026416,failure
412,0.0043093,failure
413,0.0026234,failure
414,0.0024601,failure
415,0.0026326,failure
416,0.00262,failure
417,0.0030387,failure
418,0.0026969,failure
419,0.0024111,failure
420,0.0025885,failure
421,0.0024952,success
422,0.0025329,failure
423,0.0025485,failure
424,0.0024281,failure
425,0.0009432,success
426,0.0024215,failure
427,0.0024439,failure
428,0.0026029,failure
429,0.0028836,failure
430,0.0028946,failure
431,0.0025968,success
432,0.0028364,failure
433,0.0026247,failure
434,0.0024628,failure
435,0.0029574,failure
436,0.0009654,success
437,0.0024785,failure
438,0.0025788,failure
439,0.0024623,failure
440,0.0024316,failure
441,0.0038124,failure
442,0.0021296,success
443,0.0026309,failure
444,0.0028668,failure
445,0.0024297,failure
446,0.0011345,success
447,0.0027073,failure
448,0.0026602,failure
449,0.0025839,failure
450,0.0026384,failure
451,0.002399,failure
452,0.002435,failure
453,0.0031854,success
454,0.0026227,failure
455,0.0026669,failure
456,0.0027656,failure
457,0.0024332,failure
458,0.0026067,failure
459,0.0028655,failure
460,0.0026943,failure
461,0.0017708,success
462,0.0052855,failure
463,0.0045814,failure
464,0.0051534,failure
465,0.003767,success
466,0.0031685,failure
467,0.0035417,failure
468,0.0043677,failure
469,0.0029547,failure
470,0.004051,failure
471,0.002698,failure
472,0.0033637,failure
473,0.0027585,failure
474,0.0029173,failure
475,0.0027078,failure
476,0.0016741,success
